time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2023-01-19 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-01-19 09:30:00-05:00,sell,fill,128.0,SPY,stock,,0.0,,389.3599853515625,market,1,0.0
2023-02-01 09:30:00-05:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2023-02-01 09:30:00-05:00,buy_to_close,fill,128.0,SPY,stock,,0.0,,408.82798461914064,stop,1,0.0
2023-04-10 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-04-10 10:30:00-04:00,sell,fill,123.0,SPY,stock,,0.0,,406.6099853515625,market,1,0.0
2023-06-02 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2023-06-02 10:30:00-04:00,buy_to_close,fill,123.0,SPY,stock,,0.0,,426.94048461914065,stop,1,0.0
2023-06-06 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-06-06 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-06-06 10:30:00-04:00,buy,fill,502.0,SPY,stock,,0.0,,426.6700134277344,market,1,0.0
2023-06-06 10:30:00-04:00,buy,fill,117.0,SPY,stock,,0.0,,426.6700134277344,market,1,0.0
